time,high
1788,10.184
1789,10.165
1790,10.138
1791,10.095
1792,10.025
1793,9.93
1794,9.842
1795,9.762
1796,9.698
1797,9.649
1798,9.619
1799,9.607
1800,9.588
1801,9.534
1802,9.476
1803,9.442
1804,9.411
1805,9.408
1806,9.415
1807,9.375
1808,9.308
1809,9.21
1810,9.085
1811,8.975
1812,8.926
1813,8.966
1814,8.975
1815,8.92
1816,8.819
1817,8.737
1818,8.697
1819,8.676
1820,8.688
1821,8.703
1822,8.722
1823,8.731
1824,8.731
1825,8.658
1826,8.532
1827,8.362
1828,7.907
1829,7.699
1830,7.547
1831,7.33
1832,7.174
1833,7.068
1834,6.805
1835,6.753
1836,6.546
1837,5.969
1838,5.566
1839,5.288
1840,5.056
1841,4.928
1842,4.818
1843,4.742
1844,4.66
1845,4.635
1846,4.611
1847,4.547
1848,4.507
1849,4.446
1850,4.296
1851,4.156
1852,4.107
1853,4.092
1854,4.065
1855,4.034
1856,4.007
1857,4.025
1858,4.049
1859,4.007
1860,3.955
1861,3.964
1862,3.988
1863,3.97
1864,3.924
1865,3.927
1866,3.994
1867,4.08
1868,4.123
1869,4.101
1870,4.025
1871,3.933
1872,3.878
1873,3.86
1874,3.866
1875,3.897
1876,3.973
1877,4.04
1878,4.031
1879,3.976
1880,3.924
1881,3.891
1882,3.875
1883,3.875
1884,3.878
1885,3.888
1886,3.906
1887,3.939
1888,3.973
1889,3.997
1890,4.004
1891,3.997
1892,3.973
1893,3.946
1894,3.909
1895,3.885
1896,3.885
1897,3.903
1898,3.906
1899,3.863
1900,3.781
1901,3.683
1902,3.595
1903,3.521
1904,3.445
1905,3.384
1906,3.354
1907,3.332
1908,3.347
1909,3.384
1910,3.387
1911,3.357
1912,3.332
1913,3.305
1914,3.262
1915,3.222
1916,3.192
1917,3.195
1918,3.228
1919,3.28
1920,3.317
1921,3.332
1922,3.366
1923,3.421
1924,3.503
1925,3.601
1926,3.695
1927,3.772
1928,3.82
1929,3.848
1930,3.869
1931,3.906
1932,3.967
1933,4.043
1934,4.098
1935,4.147
1936,4.208
1937,4.284
1938,4.351
1939,4.416
1940,4.464
1941,4.489
1942,4.51
1943,4.541
1944,4.568
1945,4.623
1946,4.739
1947,4.855
1948,4.983
1949,5.111
1950,5.252
1951,5.377
1952,5.468
1953,5.508
1954,5.484
1955,5.383
1956,5.218
1957,5.02
1958,4.828
1959,4.663
1960,4.501
1961,4.348
1962,4.239
1963,4.181
1964,4.153
1965,4.123
1966,4.052
1967,4.037
1968,4.089
1969,4.135
1970,4.165
1971,4.202
1972,4.248
1973,4.287
1974,4.315
1975,4.321
1976,4.306
1977,4.281
1978,4.245
1979,4.178
1980,4.107
1981,4.055
1982,4.019
1983,3.994
1984,3.973
1985,3.964
1986,3.976
1987,3.982
1988,3.97
1989,3.921
1990,3.845
1991,3.75
1992,3.628
1993,3.436
1994,3.176
1995,2.948
1996,2.786
1997,2.667
1998,2.578
1999,2.526
2000,2.502
2001,2.505
2002,2.511
2003,2.52
2004,2.526
2005,2.523
2006,2.511
2007,2.514
2008,2.52
2009,2.514
2010,2.511
2011,2.508
2012,2.49
2013,2.465
2014,2.441
2015,2.423
2016,2.423
2017,2.426
2018,2.423
2019,2.429
2020,2.447
2021,2.475
2022,2.505
2023,2.542
2024,2.584
2025,2.63
2026,2.676
2027,2.703
2028,2.71
2029,2.713
2030,2.719
2031,2.731
2032,2.746
2033,2.758
2034,2.789
2035,2.816
2036,2.829
2037,2.835
2038,2.807
2039,2.774
2040,2.731
2041,2.691
2042,2.658
2043,2.645
2044,2.642
2045,2.624
2046,2.6
2047,2.563
2048,2.52
2049,2.478
2050,2.417
2051,2.356
2052,2.307
2053,2.264
2054,2.237
2055,2.215
2056,2.188
2057,2.148
2058,2.108
2059,2.084
2060,2.084
2061,2.111
2062,2.157
2063,2.218
2064,2.267
2065,2.301
2066,2.295
2067,2.261
2068,2.215
2069,2.191
2070,2.188
2071,2.194
2072,2.182
2073,2.188
2074,2.209
2075,2.224
2076,2.23
2077,2.218
2078,2.197
2079,2.188
2080,2.197
2081,2.215
2082,2.24
2083,2.243
2084,2.233
2085,2.24
2086,2.252
2087,2.258
2088,2.227
2089,2.163
2090,2.139
2091,2.145
2092,2.175
2093,2.194
2094,2.197
2095,2.16
2096,2.124
2097,2.093
2098,2.047
2099,1.992
2100,1.934
2101,1.879
2102,1.828
2103,1.8
2104,1.782
2105,1.779
2106,1.803
2107,1.831
2108,1.867
2109,1.895
2110,1.907
2111,1.895
2112,1.84
2113,1.785
2114,1.748
2115,1.733
2116,1.693
2117,1.666
2118,1.678
2119,1.654
2120,1.599
2121,1.516
2122,1.431
2123,1.397
2124,1.388
